work,floor,within_set_estimate,ratio
Republic,12350,22724.79,1.8401
Metaphysics,7851,8151.6,1.0383
Laws,7491,10364.19,1.3836
Nicomachean_Ethics,6730,6744.68,1.0022
Timaeus,3977,10487.23,2.637
Phaedo,3551,7166.2,2.0181
Politics,3525,3525.0,1.0
Phaedrus,2483,4053.29,1.6324
Physics,2433,3751.6,1.542
Gorgias,2341,3001.98,1.2823
Philebus,2301,6340.77,2.7557
De_Anima,2200,2465.44,1.1207
Protagoras,2096,3013.16,1.4376
Sophist,1999,3259.3,1.6305
Theaetetus,1985,4144.26,2.0878
Rhetoric,1782,1783.93,1.0011
Apology,1738,2810.15,1.6169
Symposium,1702,3041.37,1.7869
Meno,1575,2460.89,1.5625
Eudemian_Ethics,1546,1546.0,1.0
Poetics,1512,1529.29,1.0114
Statesman,1332,2434.97,1.8281
Parmenides,1294,2462.21,1.9028
Cratylus,1230,1503.84,1.2226
Posterior_Analytics,985,1334.83,1.3552
Laches,932,1199.06,1.2866
Topics,866,1526.26,1.7624
De_Generatione_Animalium,809,900.77,1.1134
Euthydemus,685,1133.36,1.6545
Crito,637,871.93,1.3688
Prior_Analytics,626,1089.41,1.7403
Lysis,613,848.58,1.3843
De_Partibus_Animalium,590,653.09,1.1069
Charmides,585,874.0,1.494
De_Caelo,569,788.1,1.3851
Meteorology,510,581.74,1.1407
Historia_Animalium,438,539.73,1.2323
Euthyphro,431,918.7,2.1315
De_Interpretatione,402,505.58,1.2577
Epinomis,356,370.4,1.0405
Alcibiades_1,349,612.8,1.7559
Letters,322,457.44,1.4206
Hippias_Major,285,422.48,1.4824
De_Sensu,239,245.85,1.0287
Sophistical_Refutations,227,287.01,1.2644
Menexenus,225,275.83,1.2259
Critias,204,253.38,1.2421
Ion,196,205.33,1.0476
De_Motu_Animalium,180,190.82,1.0601
De_Generatione_et_Corruptione,156,193.29,1.2391
Hippias_Minor,153,182.07,1.19
Magna_Moralia,149,149.32,1.0022
De_Memoria,129,130.87,1.0145
De_Insomniis,123,124.09,1.0088
Categories,122,232.87,1.9088
De_Somno,103,113.05,1.0976
Rhetorica_ad_Alexandrum,66,66.78,1.0119
Clitophon,42,42.55,1.013
Theages,39,51.8,1.3282
Minos,30,33.88,1.1293
De_Incessu_Animalium,25,25.25,1.0098
De_Juventute,23,23.52,1.0226
Hipparchus,17,17.94,1.0553
De_Respiratione,17,17.38,1.0226
Rival_Lovers,8,10.3,1.287
Alcibiades_2,6,7.38,1.2301
De_Divinatione_per_Somnum,6,6.02,1.0033
De_Longitudine_Vitae,3,3.02,1.0068
work_id,1,2.0,2.0
