journal	year	corpus	n_matches	n_articles
American Journal of Theology & Philosophy	1980	ambiguous	1	1
American Journal of Theology & Philosophy	1981	nt	7	2
American Journal of Theology & Philosophy	1983	nt	1	1
American Journal of Theology & Philosophy	1985	bekker	1	1
American Journal of Theology & Philosophy	1986	nt	2	1
American Journal of Theology & Philosophy	1986	stephanus	1	1
American Journal of Theology & Philosophy	1987	stephanus	1	1
American Journal of Theology & Philosophy	1988	nt	5	1
American Journal of Theology & Philosophy	1989	nt	4	1
American Journal of Theology & Philosophy	1990	bekker	29	1
American Journal of Theology & Philosophy	1991	ambiguous	1	1
American Journal of Theology & Philosophy	1991	stephanus	2	1
American Journal of Theology & Philosophy	1992	ambiguous	1	1
American Journal of Theology & Philosophy	1992	nt	3	1
American Journal of Theology & Philosophy	1993	ambiguous	1	1
American Journal of Theology & Philosophy	1993	stephanus	3	2
American Journal of Theology & Philosophy	1994	ambiguous	1	1
American Journal of Theology & Philosophy	1995	ambiguous	15	1
American Journal of Theology & Philosophy	1995	nt	1	1
American Journal of Theology & Philosophy	1995	stephanus	17	1
American Journal of Theology & Philosophy	1997	stephanus	1	1
American Journal of Theology & Philosophy	2000	ambiguous	21	1
American Journal of Theology & Philosophy	2000	bekker	3	1
American Journal of Theology & Philosophy	2000	stephanus	22	2
American Journal of Theology & Philosophy	2001	ambiguous	1	1
American Journal of Theology & Philosophy	2002	ambiguous	1	1
American Journal of Theology & Philosophy	2002	nt	2	1
American Journal of Theology & Philosophy	2004	stephanus	4	1
American Journal of Theology & Philosophy	2005	ambiguous	1	1
American Journal of Theology & Philosophy	2006	ambiguous	2	2
American Journal of Theology & Philosophy	2007	stephanus	10	1
American Journal of Theology & Philosophy	2008	ambiguous	4	2
American Journal of Theology & Philosophy	2008	nt	2	1
American Journal of Theology & Philosophy	2008	stephanus	1	1
American Journal of Theology & Philosophy	2009	nt	2	1
American Journal of Theology & Philosophy	2015	bekker	2	1
American Journal of Theology & Philosophy	2016	ambiguous	1	1
American Journal of Theology & Philosophy	2017	ambiguous	1	1
American Journal of Theology & Philosophy	2017	nt	1	1
American Journal of Theology & Philosophy	2018	bekker	1	1
American Journal of Theology & Philosophy	2018	stephanus	1	1
American Journal of Theology & Philosophy	2019	ambiguous	1	1
American Journal of Theology & Philosophy	2022	bekker	2	1
Archivio di Filosofia	2007	ambiguous	13	7
Archivio di Filosofia	2007	bekker	1	1
Archivio di Filosofia	2007	homer	1	1
Archivio di Filosofia	2007	stephanus	4	2
Archivio di Filosofia	2008	ambiguous	20	5
Archivio di Filosofia	2008	bekker	1	1
Archivio di Filosofia	2008	homer	1	1
Archivio di Filosofia	2008	nt	4	3
Archivio di Filosofia	2008	stephanus	4	2
Archivio di Filosofia	2009	ambiguous	1	1
Archivio di Filosofia	2009	bekker	1	1
Archivio di Filosofia	2009	stephanus	2	2
Archivio di Filosofia	2010	ambiguous	18	9
Archivio di Filosofia	2010	bekker	2	2
Archivio di Filosofia	2010	stephanus	3	2
Archivio di Filosofia	2011	ambiguous	9	7
Archivio di Filosofia	2011	bekker	5	2
Archivio di Filosofia	2011	stephanus	1	1
Archivio di Filosofia	2012	ambiguous	4	3
Archivio di Filosofia	2012	bekker	10	3
Archivio di Filosofia	2012	stephanus	5	4
Archivio di Filosofia	2013	ambiguous	2	2
